areaServicioDescripcion,observaciones
Arbolado Urbano,Solicita recorte de raices porque levanta la vereda y le rompe los caños del agua. Ademas solicita raleo de ramas por liberacion de frente y techo.
Arbolado Urbano,"real 1344, solicita corte de raíces las mismas rompen la vereda y el interior del domicilio
Informe Ing. Sencio. 26/02/2024. Real: 1344.RR leve x Liquidambar
Informe Ing. Sencio 24/06/2024. Real: : Libertad 1344. Tareas a realizar: RR y vereda x Liquidambar. "
Obras Públicas,"Hola: éste trámite hace más de dos años.que está realizado, sin ninguna respuesta..Espero que ésta sea la definitiva. Gracias"
Arbolado Urbano,Vecina informa que estuvieron reparando veredas por su cuadra y su vereda por recorte de raíces de hace 2 años aun no se arreglo
Arbolado Urbano,"Vecina solicita inspección por un ejemplar en mal estado, al cual se caen las ramas ( tiene clavel del aire)"
Arbolado Urbano,Vecina solicita raleo de raíces por dos árboles.
Arbolado Urbano,"Vecina informa de un ejemplar del que cayeron varias ramas con las tormentas, informa que varias ramas habrían quedado sostenidas por los cables y estaría en mal estado, solicita que sea inspeccionado. El arbol esta sobre Estrada
INFORME POR GIANNA 11/11/2024:son dos eucaliptos hay que hacer RC por lo menos 2m"
Arbolado Urbano,"Vecina informa raíces levantando vereda, solicita recorte de raíces."
Arbolado Urbano,Vecina informa que frente a su domicilio se cayo un ejemplar y daño parte de la vereda además de dejar un gran hueco en el pasto.
Arbolado Urbano,"Vecino solicita raleo de raíces por un ejemplar que levanta en graforma la vereda. Ya tiene un reporte prexistente en Citymis numero 854887 que data 25-08-2020 que al dia de la fecha no tiene inspección. El vecino manifiesta que si se procede a realizar el trabajo solicitado, el repararia la vereda de manera particular ..
INFORME ROMINA 12/11/2024: Reparacion de vereda"
Arbolado Urbano,Vecino de Iglesia Metodista RR x 1
Arbolado Urbano,"Buen día! con el número de expediente 828959 es que hace meses se hizo el recorte de raíces pero ha quedado pendiente el trabajo de hacer la vereda.  Entiendo que se han retomado esos trabajos y deseo pedir prioridad para hacerlo ya que hace unos días una persona mayor se ha caído en la vereda, y además el cordón está roto y asoma el caño de desagüe que puede lastimar los neumáticos de los vehículos.  Necesitaría conocer cuándo se haría ese trabajo."
Arbolado Urbano,Vecino solicita raleo de ramas bajo el reporte;  N°920912
Arbolado Urbano,Vecino solicita extraccion o Achique y RR x 1 Liquidambar
Arbolado Urbano,"Vecina reitera reclamo N° 579360 ""Informe Ing. Sencio. Rb de limpieza y RR x 1 Tilo con 3ra grúa."", se le informa lo autorizado por el ingeniero."
Arbolado Urbano,Vecina informa de un ejemplar cuyas raíces dañan mucho la vereda de su domicilio y genera daños dentro de la propiedad.
Arbolado Urbano,Vecino solicita la extraccion x 1 Ligustro Disiplinado
Arbolado Urbano,"Real 635; Solicita corte de raíces, las mismas levantan toda la vereda
informe ing. sencio 7/12/24:recorte de raices superficial y reparacion de vereda parche de hormigón de baldoza. 6 mts"
Arbolado Urbano,Me acabo de mudar. El vecino lindante tiene un árbol de importante porte sobre la medianera. Quisiera que me orienten cómo proceder por posible riesgo edilicio y eventuales daños sobre la integridad física de mí familia.
Arbolado Urbano,"real 1338; Informa que hace dos años hicieron corte de raíces, pero las mismas rompen toda nuevamente
INFORME TECNICO CAROLINA 15/11/24: Reparacion de vereda y plantera
Informe Ing. Sencio. 04/10/2023. Real: 1338	RR x Roble. Cooperativa El Rocio. 
informe carolina 15/11/2024:Reparacion de vereda y plantera"
Arbolado Urbano,"Hay una enorme rama caida dentro de mi domicilio en la calle Necochea 2155, Martinez. Solicito su remocion urgente y la poda del arbol"
Arbolado Urbano,Solicito urgente la remocion de una rama caida dentro de mi casa
Arbolado Urbano,Vecino solicita reparación de vereda rota por el municipio con motivo de extracción de árbol.- ( La vecina es una persona jubilada)
Arbolado Urbano,"Vecino solicita liberación de luminaria, manifiesta que está muy oscuro y es peligroso.-"
Arbolado Urbano,Luego de un recorte de raices de hace un año quedo la vereda destrozada
Arbolado Urbano,Vecino solicita recorte de raices
Arbolado Urbano,informe Ing. Sencio. Rb de limpieza y RR x 1 Fresno con 3ra grúa..Orden de trabajo #58927:.Verificar y Autorizar.Estado: Cerrado (Realizado) 30-04-2021 19:59 por Sencio Alejandro Ing
Arbolado Urbano,"Ya hace años que vengo pidiendo se solucione vereda.Me he visto obligada a cambiar reiteradamente cañerías privadas y hemos tenido 2 emergencias por perdidas de agua potable y muchísimas por cloacas , la última con aguas cloacas en la vereda..Ya ha roto todo el paredón que ha sido arreglado en varias oportunidades

21/2 Recorte de raices con reparacion de vereda. No se realizara poda aerea porque los ejemplares estan muy esbeltos - Las reparaciones de vereda pueden tardar hasta 90 dias habiles desde que son asignados en sistema"
Arbolado Urbano,Vecina solicita reparación de vereda por recorte de raices.-
