areaServicioDescripcion,observaciones
Arbolado Urbano,Vecina informa que estuvieron reparando veredas por su cuadra y su vereda por recorte de raíces de hace 2 años aun no se arreglo
Arbolado Urbano,"Vecina solicita inspección por un ejemplar en mal estado, al cual se caen las ramas ( tiene clavel del aire)"
Arbolado Urbano,"Vecino solicita raleo de raíces por un ejemplar que levanta en graforma la vereda. Ya tiene un reporte prexistente en Citymis numero 854887 que data 25-08-2020 que al dia de la fecha no tiene inspección. El vecino manifiesta que si se procede a realizar el trabajo solicitado, el repararia la vereda de manera particular ..
INFORME ROMINA 12/11/2024: Reparacion de vereda"
Arbolado Urbano,Vecino de Iglesia Metodista RR x 1
Obras Públicas,El cordón y parte de la vereda se están hundiendo sobre Rawson esquina Pasteur. Es al lado de una cámara de inspección
Arbolado Urbano,Vecino solicita raleo de ramas bajo el reporte;  N°920912
Arbolado Urbano,Vecino solicita extraccion o Achique y RR x 1 Liquidambar
Arbolado Urbano,Vecina informa de un ejemplar cuyas raíces dañan mucho la vereda de su domicilio y genera daños dentro de la propiedad.
Arbolado Urbano,Vecino solicita la extraccion x 1 Ligustro Disiplinado
Arbolado Urbano,"Real 635; Solicita corte de raíces, las mismas levantan toda la vereda
informe ing. sencio 7/12/24:recorte de raices superficial y reparacion de vereda parche de hormigón de baldoza. 6 mts"
Arbolado Urbano,"Vecino solicita RR x 1
INFORME TECNICO CAROLINA 15/11/24: ejemplar No requiere ni arreglo de vereda ni poda"
Arbolado Urbano,Me acabo de mudar. El vecino lindante tiene un árbol de importante porte sobre la medianera. Quisiera que me orienten cómo proceder por posible riesgo edilicio y eventuales daños sobre la integridad física de mí familia.
Arbolado Urbano,cordoba 431; las raíces ingresan al domicilio y perjudican los caños de agua
Arbolado Urbano,"Hay una enorme rama caida dentro de mi domicilio en la calle Necochea 2155, Martinez. Solicito su remocion urgente y la poda del arbol"
Arbolado Urbano,Solicito urgente la remocion de una rama caida dentro de mi casa
Arbolado Urbano,hayque podar esa rama que cruza la vereda ya que es peligrosa porque el arbol es viejo y parece que se va a caer en la próxima tormenta fuerte
Arbolado Urbano,Vecino solicita recorte de raices
Arbolado Urbano,informe Ing. Sencio. Rb de limpieza y RR x 1 Fresno con 3ra grúa..Orden de trabajo #58927:.Verificar y Autorizar.Estado: Cerrado (Realizado) 30-04-2021 19:59 por Sencio Alejandro Ing
Arbolado Urbano,"El vecino solicita la evaluacion de las raices ya que no solo rompieron la vereda, sino que provocaron problemas estructurales a su vivienda"
Arbolado Urbano,"Ya hace años que vengo pidiendo se solucione vereda.Me he visto obligada a cambiar reiteradamente cañerías privadas y hemos tenido 2 emergencias por perdidas de agua potable y muchísimas por cloacas , la última con aguas cloacas en la vereda..Ya ha roto todo el paredón que ha sido arreglado en varias oportunidades

21/2 Recorte de raices con reparacion de vereda. No se realizara poda aerea porque los ejemplares estan muy esbeltos - Las reparaciones de vereda pueden tardar hasta 90 dias habiles desde que son asignados en sistema"
Arbolado Urbano,"arenales 1181, esquina guemes .solicita liberación de luminaria de un gomero"
Arbolado Urbano,Vecina solicita reparación de vereda por recorte de raices.-
Obras Públicas,"Vivo en Ituzaingo 688 y, sin previo aviso, me informan que nos quedaremos sin entrada por obras en la plaza. Estoy embarazada de casi 8 meses y necesito cuidados especiales de salud. Necesitamos ayuda para poder estacionar en nuestra cuadra por cualquier emergencia que podamos tener. Ya hicimos varios reclamos. Adjunto foto con mensaje a Posse. Gracias"
Arbolado Urbano,"La contribuyente viene reclamando desde el día 01-12-2017 bajo reporte de Citymis N° 615263, que se recorten las raíces de un árbol que se encuentra en la puerta de su domicilio. El mismo le ha dañado la vereda en mas de una oportunidad, la que tuvo que reconstruir al menos 2 veces para encontrarse en la actualidad otra vez dañada, también ha debido reparar algún caño de agua debido al estrangulamiento de las raíces de dicho árbol, y además le ha levantado la guía del portón de su casa, por lo cual su garage es inaccesible. El día 01-02-2019 se genera un reporte nuevo, también de Citymis, bajo el N° 741744. Ambos siguen ""en proceso"" en dicha plataforma..La vecina solicita que se solucioné su problema de manera urgente debido a que van 5 años del reclamo original."
Obras Públicas,"SIENDO LAS 18:21 HORAS MONITOREO VISUALIZA QUE EN LA ARTERIA PARANA Y AV FLEMING DE LA LOCALIDAD DE MARTINEZ,  DONDE SE ENCUENTRAN REALIZANDO LA REPAVIMENTACION,  QUEDANDO  CAIDA EN LA MITAD DE LA CALZADA  UNA RED CON LA  QUE SEÑALIZAN LA OBRA.  REFERENTE A EVENTO SGE NUMERO 664960. DIAZ GIMENA;LEGAJO:71038."
Higiene Urbana,Necochea 2800.vecina solicita que se regularice el servicio lo antes posible
Arbolado Urbano,"vecina solicita la poda o raleo de un arbol que esta en la puerta de su casa y las ramas estan entrando por la ventana y tocando el techo sin dejarla poder dormir. dejo un telefo de linea de la vecina, ya que no posee correo electronico."
Arbolado Urbano,"Vecino solicita recorte de raices.-
INFORME TECNICO CAROLINA 27/11/24: Poda y corte de raices, reparacion de vereda"
Arbolado Urbano,Se solicita raleo de raices por rotura de caños y vereda
Arbolado Urbano,"Buenas tardes: hago mediante este reclamo una solicitud de poda de árbol que impide la visión correcta de la salida de mi vehículo, adjunto foto para que vean que al salir de mi casa el Árbol de aguacate de mi vecino de  bogota 1568, no me permite observar correctamente los autos que se acercan de la calle Cuyo y hasta al momento, gracias a Dios no tuve ningún Accidente automovilístico. Por eso solicitud a la municipalidad que se acerquen a podar dicho árbol, ya que con la vecina lindante y dueña del arbol, no se puede realizar una conversación adecuada ya que amenaza e insulta diciendo que su hija trabaja en la municipalidad, dándose así atribuciones de ser dueña de la vereda y hacer lo que se le da la gana..Por eso deseo que en la brevedad se acerquen a podar dicho árbol que es un peligro para la libre circulación de la gente. .Saluda Atte. vecina y abogada del municipio Margarita Escobar. Tª49 Fª 336 C.A.S.I
Informe tecnico Occhipinti 15/10/24:Poda: Limpieza , Balanceo, Refaldeo y Eliminacion de interferencia de la  prop"
Arbolado Urbano,vecina solicita reparación de vereda.N°800937
Arbolado Urbano,Poda x 2
Arbolado Urbano,"Se solicita recorte de raíces por dos ejemplares (Tilos) que levantan la vereda.
Informe Ing. Sencio 28/08/2024. Real: Libertad 1232. Tareas a realizar: RR y vereda x 2 Tilos. "
Arbolado Urbano,Vecina manifiesta que su vereda esta rota por las raíces del árbol. agrega que ya hubo varias caídas de personas mayores.  .Malabia 2526 entre Asamblea y Junin.
